Poly(A)(+) RNA	Poly(A)(+) RNA	RNA
polymerase chain reaction marker	polymerase chain reaction marker	marker
polymerase chain reaction (PCR)based markers	polymerase chain reaction (PCR)based marker	marker
Polymerase chain reaction primers	polymerase chain reaction primer	primer
polymorphic 4BS allele	polymorphic 4BS allele	allele
polymorphic band pattern	polymorphic band pattern	pattern
polymorphic band	polymorphic band	band
polymorphic bands	polymorphic band	band
Polymorphic DNA bands	polymorphic DNA band	band
polymorphic fragment	polymorphic fragment	fragment
polymorphic fragments of PPO18	polymorphic fragment of PPO18	fragment
polymorphic markers	polymorphic marker	marker
polymorphic pattern	polymorphic pattern	pattern
polymorphic RGAP markers	polymorphic RGAP marker	marker
polymorphic SSR loci	polymorphic SSR locus	locus
polymorphic systems	polymorphic system	system
polymorphic TRAP markers	polymorphic trap marker	marker
polymorphisms	polymorphism	polymorphism
Polymorphisms	polymorphism	polymorphism
polyphenol oxidase activity	polyphenol oxidase activity	activity
'poor breadmaking quality' GluB1	'poor breadmaking quality' GluB1	GluB1
poor wheat breadmaking quality	poor wheat breadmaking quality	quality
popular wheat cultivars	popular wheat cultivar	cultivar
population Janz	population Janz	Janz
population of an Anza	population of an Anza	population
Population	population	population
population size bottleneck	population size bottleneck	bottleneck
portion	portion	portion
positional cloning approach	positional clon approach	approach
position	position	position
positive control	positive control	control
positive effect	positive effect	effect
positive selectable marker	positive selectable marker	marker
positive selection	positive selection	selection
possibility of detection	possibility of detection	possibility
possibility	possibility	possibility
possible marker applications	possible marker application	application
possible use	possible use	use
post amplification restriction digestion	post amplification restriction digestion	digestion
potential candidate gene	potential candidate gene	gene
potential effectiveness of marker	potential effectiveness of marker	effectiveness
potential noodle quality	potential noodle quality	quality
potential practical application	potential practical application	application
Potential uses of microsatellite markers	potential use of microsatellite marker	use
Potential uses of microsatellites	potential use of microsatellites	use
potent sources of resistance	potent source of resistance	source
powdery mildew pathogen	powdery mildew pathogen	pathogen
powdery mildew resistance gene combinations	powdery mildew resistance gene combination	combination
powdery mildew resistance gene Pm16	powdery mildew resistance gene Pm16	Pm16
powdery mildew resistance gene Pm18	powdery mildew resistance gene Pm18	Pm18
Powdery mildew resistance genes Pm12	powdery mildew resistance gene Pm12	Pm12
powdery mildew resistance genes	powdery mildew resistance gene	gene
Powdery mildew severities	powdery mildew severity	severity
powerful technology	powerful technology	technology
powerful tool	powerful tool	tool
powerful tools	powerful tool	tool
Ppd	Ppd	Ppd
PPO18	PPO18	PPO18
PPO gene co	PPO gene Co	Co
PPO gene	PPO gene	gene
Practical application	practical application	application
practical tool	practical tool	tool
practical validation	practical validation	validation
practice	practice	practice
pragmatic breeding programs	pragmatic breeding program	program
pragmatic use of molecular markers	pragmatic use of molecular marker	use
Prague	Prague	Prague
precipitation dryland regions	precipitation dryland region	region
precise genomic location of gene Lr46	precise genomic location of gene Lr46	location
precise localization of genes	precise localization of gene	localization
precise location of Sr48	precise location of Sr48	location
precision of selection	precision of selection	precision
prediction of bread	prediction of bread	prediction
preliminary assessment of genetic diversity	preliminary assessment of genetic diversity	assessment
Prelimnary results	Prelimnary result	result
presence of a 7A	presence of a 7A	presence
presence of adult plant durable rust resistance gene Lr34	presence of adult plant durable rust resistance gene Lr34	presence
presence of a major gene	presence of a major gene	presence
presence of a major QTL	presence of a major QTL	presence
presence of an additional AciI restriction site	presence of an additional AciI restriction site	presence
presence of an N	presence of an N	presence
presence of anthocyanin regulatory genes	presence of anthocyanin regulatory gene	presence
presence of a terminal translocation	presence of a terminal translocation	presence
presence of chromosome	presence of chromosome	presence
presence of donor	presence of donor	presence
presence of GA3	presence of GA3	presence
presence of HMW glutenin subunits GLU	presence of HMW glutenin subunits GLU	presence
presence of leaf rust resistance gene Lr10	presence of leaf rust resistance gene Lr10	Lr10
presence of Lr10	presence of Lr10	presence
presence of Lr34	presence of Lr34	presence
presence of particular microsatellite fragments	presence of particular microsatellite fragment	presence
presence of resistance genes	presence of resistance gene	presence
presence of rust resistance genes Lr34	presence of rust resistance gene Lr34	presence
presence of secalin genes	presence of secalin gene	presence
presence of Sec	presence of sec	presence
presence of these QTLs	presence of these QTLs	presence
presence of this marker	presence of this marker	presence
presence of Xgwm382	presence of Xgwm382	presence
present paper	present paper	paper
present research	present research	research
present status	present status	status
present study	present study	study
present work	present work	work
previous method	previous method	method
previous methods	previous method	method
previous QTL mapping studies	previous QTL mapping study	study
previous report	previous report	report
previous study	previous study	study
previous version	previous version	version
prewinter measurements	prewinter measurement	measurement
primary end	primary end	end
primary motivation	primary motivation	motivation
primary triticale breeding programs	primary triticale breeding program	program
prime candidates	prime candidate	candidate
Primer 196	Primer 196	196
Primer 372	Primer 372	372
primer combination E08	primer combination E08	E08
primer combinations Me8	prime combination Me8	Me8
primer extension	prime extension	extension
primer ISSR818	prime ISSR818	ISSR818
primer pair	prime pair	pair
primer pair	primer pair	pair
primer pairs	prime pair	pair
Primer pairs	prime pair	pair
primer pairs	primer pair	pair
primer pair Xgwm44 displayed polymorphism	primer pair Xgwm44 display polymorphism	polymorphism
primer set	prime set	set
primer sets	prime set	set
primer walking strategy	prime walking strategy	strategy
priority	priority	priority
probability of 'univalent switch'	probability of 'univalent switch'	probability
probe BCD260	probe BCD260	BCD260
problem of stem rust susceptibility	problem of stem rust susceptibility	problem
problems	problem	problem
procedures	procedure	procedure
processing quality of enduse products of common wheat	processing quality of enduse product of common_wheat	quality
process of backcross	process of backcross	process
production of lines	production of line	production
production of noodle wheat varieties	production of noodle wheat variety	production
productivity	productivity	productivity
product quality	product quality	quality
progenies of different cross combinations	progeny of different cross combination	progeny
progenies showed good uniformity	progeny show good uniformity	uniformity
progeny lines of a single chromosome recombinant line population	progeny line of a single chromosome recombinant line population	line
progeny lines	progeny line	line
progeny plants	progeny plants	plants
prolamin marker	prolamin marker	marker
prospect	prospect	prospect
protein composition	protein composition	composition
Protein marker	protein marker	marker
protein product	protein product	product
Protein profile differences	protein profile difference	difference
Proteins	protein	protein
provided convenient molecular markers	provide convenient molecular marker	marker
provided plant breeders	provide plant breeder	breeder
proximal side	proximal side	side
Pseudocercosporella herpotrichoides	Pseudocercosporella_herpotrichoides	Pseudocercosporella_herpotrichoides
PSP2999 marker	PSP2999 marker	marker
PSP2999	PSP2999	PSP2999
PS	PS	PS
PSR920	PSR920	PSR920
PST	PST	PST
P. striiformis	P._striiformis	P._striiformis
P. triticina	P._triticina	P._triticina
public breeding programs	public breeding program	program
published glutenin genes	publish glutenin gene	gene
published results	publish result	result
published sequence of a omega	publish sequence of a_omega	sequence
Puccinia recondita	Puccinia_recondita	Puccinia_recondita
Puccinia striiformis Westend	Puccinia_striiformis Westend	Westend
Puccinia triticina	Puccinia_triticina	Puccinia_triticina
pUCm	pUCm	pUCm
Pune location	Pune location	location
Pune	Pune	Pune
puroindoline	puroindoline	puroindoline
purpose	purpose	purpose
putative minor QTL	putative minor QTL	QTL
putative QTLs	putative QTLs	QTLs
putative RAPD marker	putative RAPD marker	marker
pw	pw	pw
pyramided line	pyramid line	line
Pyramiding different resistance genes	pyramid different resistance gene	gene
Pyrenophora tritici-repentis	Pyrenophora_tritici-repentis	Pyrenophora_tritici-repentis
QCr	QCr	QCr
QCr usq	QCr usq	usq
Qfhi	Qfhi	Qfhi
Qfh	Qfh	Qfh
Qfhs	Qfhs	Qfhs
QGpc	QGpc	QGpc
QPhs	QPhs	QPhs
qRT	qRT	qRT
QTL allele	QTL allele	allele
QTL alleles	QTL allele	allele
QTL analysis	QTL analysis	analysis
QTL detection of agronomic traits	QTL detection of agronomic trait	detection
QTL mapping investigations	QTL mapping investigation	investigation
QTL	QTL	QTL
QTLs present	QTLs present	present
QTLs	QTLs	QTLs
quality assays	quality assay	assay
quality common wheat cvs 'Bolero'	quality common_wheat cvs 'Bolero'	'Bolero'
quality losses	quality loss	loss
quality of different wheat varieties	quality of different wheat variety	quality
quality of DNA	quality of DNA	quality
quality of wheat flour	quality of wheat flour	flour
quality reduction	quality reduction	reduction
quantification of YD viruses	quantification of YD viruses	quantification
quantitative characters	quantitative character	character
quantitative trait locus	quantitative trait locus	locus
quantitative trat loci	quantitative trat locus	locus
quantity of grain	quantity of grain	quantity
quicker procedure of Polymerase Chain Reaction	quick procedure of Polymerase Chain Reaction	procedure
R63	R63	R63
race QTH	race QTH	QTH
random amplified polymeric DNA	random amplify polymeric DNA	DNA
random amplified polymorphic DNA markers	random amplify polymorphic DNA marker	marker
random amplified polymorphic DNA	random amplify polymorphic DNA	DNA
random isolates	random isolate	isolate
Randomly Amplified Polymorphic DNA primers	Randomly Amplified Polymorphic DNA primer	primer
random primers	random primer	primer
Random	Random	Random
range of publicly available data	range of publicly available datum	range
range of sources of resistance	range of source of resistance	range
rank correlation	rank correlation	correlation
RAPD analysis	RAPD analysis	analysis
RAPD bands	RAPD band	band
RAPD marker OPD04(1300)	RAPD marker OPD04(1300)	OPD04(1300)
RAPD marker S3(450)	RAPD marker S3(450)	S3(450)
RAPD markers	RAPD marker	marker
RAPD primer GLC	RAPD primer GLC	GLC
RAPD primers GLC	RAPD primer GLC	GLC
RAPD primers	RAPD primer	primer
RAPD products	RAPD product	product
RAPD technique	RAPD technique	technique
rapid accumulation of genomics tools	rapid accumulation of genomics tool	accumulation
rapid diagnosis of dwarf bunt of wheat	rapid diagnosis of dwarf bunt of wheat	diagnosis
rapid identification of T. controversa	rapid identification of T._controversa	identification
rapid identification	rapid identification	identification
RAPID markers	Rapid marker	marker
rapid method	rapid method	method
rapid PCR protocol	rapid PCR protocol	protocol
rapid screening of plant populations	rapid screening of plant population	screening
Rapier	Rapier	Rapier
Rapor	Rapor	Rapor
reaction to race T19	reaction to race T19	reaction
realized selection gain	realize selection gain	gain
Real Time PCR	Real Time PCR	PCR
real world	real world	world
Recent approaches	Recent approach	approach
recent development	recent development	development
recent marker system	recent marker system	system
recent years	recent year	year
recessive adult plant resistance	recessive adult plant resistance	resistance
recessive resistance allele	recessive resistance allele	allele
recessive vrn	recessive vrn	vrn
recipient genome composition	recipient genome composition	composition
recipient genome recovery rate	recipient genome recovery rate	rate
recipient parent	recipient parent	parent
recipient parents	recipient parent	parent
recipient	recipient	recipient
recipients	recipient	recipient
